"uuid","page_id","page_condition","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed"
"0662696f-dad0-4850-8d7a-6a843036c294","1-1",1,111215,107759,3456,324,1,1438,22,"desktop",0,"college",0,"English",0,0,"Y",9.6,180.402564982971
"0662696f-dad0-4850-8d7a-6a843036c294","3-2",0,33843,31705,2138,120,1,1438,22,"desktop",0,"college",0,"English",0,0,"Y",10.697,227.093518372496
"0662696f-dad0-4850-8d7a-6a843036c294","1-2",0,80162,78671,1491,383,1,1438,22,"desktop",0,"college",0,"English",0,0,"Y",10.485,292.102553672891
"0662696f-dad0-4850-8d7a-6a843036c294","2-2",1,40886,39635,1251,166,1,1438,22,"desktop",0,"college",0,"English",0,0,"Y",7.638,251.293049072789
"0662696f-dad0-4850-8d7a-6a843036c294","3-1",1,30465,29320,1145,106,1,1438,22,"desktop",0,"college",0,"English",0,0,"Y",11.081,216.916780354707
"0662696f-dad0-4850-8d7a-6a843036c294","2-1",0,42632,41006,1626,145,0.333333333333333,1438,22,"desktop",0,"college",0,"English",0,0,"Y",8.337,212.164073550212
"06d98056-2cc4-4216-85e9-e3fe7d5751fe","3-2",1,31799,22785,9014,120,0.666666666666667,1212,18,"laptop",0,"college",0,"English",0,0,"Y",10.697,315.997366688611
"06d98056-2cc4-4216-85e9-e3fe7d5751fe","1-2",0,60443,45150,15293,383,1,1212,18,"laptop",0,"college",0,"English",0,0,"Y",10.485,508.970099667774
"06d98056-2cc4-4216-85e9-e3fe7d5751fe","2-1",1,28001,26601,1400,145,0.666666666666667,1212,18,"laptop",0,"college",0,"English",0,0,"Y",8.337,327.055373858126
"06d98056-2cc4-4216-85e9-e3fe7d5751fe","1-1",1,59757,54181,5576,324,1,1212,18,"laptop",0,"college",0,"English",0,0,"Y",9.6,358.797364389731
"06d98056-2cc4-4216-85e9-e3fe7d5751fe","3-1",0,19246,13685,5561,106,1,1212,18,"laptop",0,"college",0,"English",0,0,"Y",11.081,464.742418706613
"06d98056-2cc4-4216-85e9-e3fe7d5751fe","2-2",0,22228,20324,1904,166,1,1212,18,"laptop",0,"college",0,"English",0,0,"Y",7.638,490.061011611887
"087aef1b-10d8-4753-a39d-25591695d5fa","1-1",0,33048,18426,14622,324,0.333333333333333,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",9.6,1055.03093454901
"087aef1b-10d8-4753-a39d-25591695d5fa","2-1",1,50037,46234,3803,145,1,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",8.337,188.173205865813
"087aef1b-10d8-4753-a39d-25591695d5fa","3-1",0,35352,30534,4818,106,0.666666666666667,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",11.081,208.292395362547
"087aef1b-10d8-4753-a39d-25591695d5fa","2-2",0,49971,46163,3808,166,1,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",7.638,215.757208153716
"087aef1b-10d8-4753-a39d-25591695d5fa","1-2",1,75716,68625,7091,383,1,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",10.485,334.863387978142
"087aef1b-10d8-4753-a39d-25591695d5fa","3-2",1,55515,48806,6709,120,1,1365,27,"laptop",0,"PhD",0,"English",0,0,"Y",10.697,147.522845551776
"089fc400-90dc-483c-907e-f7143fe77183","2-1",0,124270,122019,2251,145,0.666666666666667,574,22,"smartphone",1,"high school",1,"English",0,1,"Y",8.337,71.3003712536572
"089fc400-90dc-483c-907e-f7143fe77183","1-1",1,165722,155196,10526,324,1,574,22,"smartphone",1,"high school",1,"English",0,1,"Y",9.6,125.260960334029
"089fc400-90dc-483c-907e-f7143fe77183","3-1",0,104848,96681,8167,106,1,322,22,"smartphone",1,"high school",1,"English",0,1,"Y",11.081,65.7833493654389
"089fc400-90dc-483c-907e-f7143fe77183","3-2",1,103323,99517,3806,120,1,574,22,"smartphone",1,"high school",1,"English",0,1,"Y",10.697,72.3494478330336
"089fc400-90dc-483c-907e-f7143fe77183","1-2",0,163406,154309,9097,383,1,574,22,"smartphone",1,"high school",1,"English",0,1,"Y",10.485,148.921968258494
"089fc400-90dc-483c-907e-f7143fe77183","2-2",1,95712,92438,3274,166,1,574,22,"smartphone",1,"high school",1,"English",0,1,"Y",7.638,107.747895886973
"08aad1ce-a5a5-4558-819a-80e470e455fa","3-2",0,83481,78189,5292,120,1,1294,51,"other",0,"college",1,NA,0,0,NA,10.697,92.084564324905
"08aad1ce-a5a5-4558-819a-80e470e455fa","2-2",0,61146,54227,6919,166,0.666666666666667,1294,51,"other",0,"college",1,NA,0,0,NA,7.638,183.67234034706
"08aad1ce-a5a5-4558-819a-80e470e455fa","1-2",1,121444,112895,8549,383,0.666666666666667,1294,51,"other",0,"college",1,NA,0,0,NA,10.485,203.551973072324
"08aad1ce-a5a5-4558-819a-80e470e455fa","3-1",1,40475,35683,4792,106,1,1294,51,"other",0,"college",1,NA,0,0,NA,11.081,178.236134854132
"08aad1ce-a5a5-4558-819a-80e470e455fa","1-1",0,109193,102469,6724,324,0.666666666666667,1294,51,"other",0,"college",1,NA,0,0,NA,9.6,189.715914081332
"08aad1ce-a5a5-4558-819a-80e470e455fa","2-1",1,53251,50765,2486,145,0.666666666666667,1294,51,"other",0,"college",1,NA,0,0,NA,8.337,171.377917856791
"08e0c3b1-652b-4be1-b8fb-e30789efca15","1-2",0,90557,86236,4321,383,0.666666666666667,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",10.485,266.478037014704
"08e0c3b1-652b-4be1-b8fb-e30789efca15","2-1",1,35608,34722,886,145,1,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",8.337,250.561603594263
"08e0c3b1-652b-4be1-b8fb-e30789efca15","3-1",0,29686,27805,1881,106,1,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",11.081,228.7358388779
"08e0c3b1-652b-4be1-b8fb-e30789efca15","2-2",0,29574,27121,2453,166,1,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",7.638,367.243095756056
"08e0c3b1-652b-4be1-b8fb-e30789efca15","1-1",1,66435,61976,4459,324,0.666666666666667,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",9.6,313.669807667484
"08e0c3b1-652b-4be1-b8fb-e30789efca15","3-2",1,35990,34166,1824,120,1,1438,37,"laptop",0,"graduate school",1,"English",0,0,"Y",10.697,210.735819235497
"0939d037-9073-4b45-beef-4b1a9cb29fc6","2-2",0,33722,28435,5287,166,1,1438,26,"desktop",0,"college",1,"English",0,0,"Y",7.638,350.272551433093
"0939d037-9073-4b45-beef-4b1a9cb29fc6","1-1",0,69911,59616,10295,324,0.666666666666667,1438,26,"desktop",0,"college",1,"English",0,0,"Y",9.6,326.086956521739
"0939d037-9073-4b45-beef-4b1a9cb29fc6","3-2",0,31204,21515,9689,120,1,1438,26,"desktop",0,"college",1,"English",0,0,"Y",10.697,334.650244015803
"0939d037-9073-4b45-beef-4b1a9cb29fc6","3-1",1,21752,20986,766,106,1,1438,26,"desktop",0,"college",1,"English",0,0,"Y",11.081,303.059182312018
"0939d037-9073-4b45-beef-4b1a9cb29fc6","2-1",1,29708,28639,1069,145,1,1438,26,"desktop",0,"college",1,"English",0,0,"Y",8.337,303.781556618597
"0939d037-9073-4b45-beef-4b1a9cb29fc6","1-2",1,73119,64317,8802,383,0.666666666666667,1438,26,"desktop",0,"college",1,"English",0,0,"Y",10.485,357.292784178367
"0befef59-998c-41d5-a028-cda46345a259","3-2",0,20414,16888,3526,120,0.333333333333333,286,18,"smartphone",2,"high school",0,"Other",0,1,"N",10.697,426.338228327807
"0befef59-998c-41d5-a028-cda46345a259","1-2",0,192557,168003,24554,383,1,511,18,"smartphone",2,"high school",0,"Other",0,1,"N",10.485,136.783271727291
"0befef59-998c-41d5-a028-cda46345a259","2-2",0,78288,56946,21342,166,0.666666666666667,511,18,"smartphone",2,"high school",0,"Other",0,1,"N",7.638,174.902539247708
"0befef59-998c-41d5-a028-cda46345a259","3-1",1,54962,51827,3135,106,1,511,18,"smartphone",2,"high school",0,"Other",0,1,"N",11.081,122.715958863141
"0befef59-998c-41d5-a028-cda46345a259","1-1",1,189742,156683,33059,324,0.666666666666667,511,18,"smartphone",2,"high school",0,"Other",0,1,"N",9.6,124.072171199173
"0befef59-998c-41d5-a028-cda46345a259","2-1",1,78298,70410,7888,145,0.666666666666667,511,18,"smartphone",2,"high school",0,"Other",0,1,"N",8.337,123.561994034938
"0c06a58b-c629-43ce-8f6c-2a140dd88b66","3-2",1,30548,27860,2688,120,1,1150,21,"laptop",0,"college",0,"English",0,0,"Y",10.697,258.435032304379
"0c06a58b-c629-43ce-8f6c-2a140dd88b66","1-2",0,59294,42671,16623,383,1,1150,21,"laptop",0,"college",0,"English",0,0,"Y",10.485,538.539054627264
"0c06a58b-c629-43ce-8f6c-2a140dd88b66","2-1",1,29775,25362,4413,145,0.666666666666667,1150,21,"laptop",0,"college",0,"English",0,0,"Y",8.337,343.032883841968
"0c06a58b-c629-43ce-8f6c-2a140dd88b66","1-1",1,59194,49579,9615,324,1,1150,21,"laptop",0,"college",0,"English",0,0,"Y",9.6,392.101494584401
"0c06a58b-c629-43ce-8f6c-2a140dd88b66","3-1",0,29012,23336,5676,106,0.666666666666667,1150,21,"laptop",0,"college",0,"English",0,0,"Y",11.081,272.54028111073
"0c06a58b-c629-43ce-8f6c-2a140dd88b66","2-2",0,30787,28723,2064,166,1,1150,21,"laptop",0,"college",0,"English",0,0,"Y",7.638,346.760435887616
