"participant","vis","rdirection","sign","visandsign","rbase","approach","jnd","condition"
"hskxhv75","donut","positive",1,"donutpositive",0.4,"below",0.54,"donutpositive-0.4-below"
"hskxhv75","donut","positive",1,"donutpositive",0.7,"above",0.295416667,"donutpositive-0.7-above"
"hskxhv75","donut","positive",1,"donutpositive",0.4,"above",0.25,"donutpositive-0.4-above"
"hskxhv75","donut","positive",1,"donutpositive",0.7,"below",0.058333333,"donutpositive-0.7-below"
"hrqiny9j","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.8,"above",0.179583333,"parallelCoordinatesnegative-0.8-above"
"hrqiny9j","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.8,"below",0.023333333,"parallelCoordinatesnegative-0.8-below"
"hrqiny9j","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.5,"above",0.143333333,"parallelCoordinatesnegative-0.5-above"
"hrqiny9j","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.5,"below",0.116666667,"parallelCoordinatesnegative-0.5-below"
"hrji6a3j","scatterplot","negative",-1,"scatterplotnegative",0.8,"below",0.040833333,"scatterplotnegative-0.8-below"
"hrji6a3j","scatterplot","negative",-1,"scatterplotnegative",0.4,"above",0.071666667,"scatterplotnegative-0.4-above"
"hrji6a3j","scatterplot","negative",-1,"scatterplotnegative",0.8,"above",0.045,"scatterplotnegative-0.8-above"
"hrji6a3j","scatterplot","negative",-1,"scatterplotnegative",0.4,"below",0.375833333,"scatterplotnegative-0.4-below"
"hrqf8ouw","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.6,"above",0.083333333,"parallelCoordinatesnegative-0.6-above"
"hrqf8ouw","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.3,"above",0.248333333,"parallelCoordinatesnegative-0.3-above"
"hrqf8ouw","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.6,"below",0.06,"parallelCoordinatesnegative-0.6-below"
"hrqf8ouw","parallelCoordinates","negative",-1,"parallelCoordinatesnegative",0.3,"below",0.175,"parallelCoordinatesnegative-0.3-below"
"hs7v902o","stackedline","negative",-1,"stackedlinenegative",0.8,"above",0.146666667,"stackedlinenegative-0.8-above"
"hs7v902o","stackedline","negative",-1,"stackedlinenegative",0.8,"below",0.231666667,"stackedlinenegative-0.8-below"
"hs7v902o","stackedline","negative",-1,"stackedlinenegative",0.5,"above",0.158333333,"stackedlinenegative-0.5-above"
"hs7v902o","stackedline","negative",-1,"stackedlinenegative",0.5,"below",0.366666667,"stackedlinenegative-0.5-below"
"hsjjplhi","radar","positive",1,"radarpositive",0.5,"below",0.475,"radarpositive-0.5-below"
"hsjjplhi","radar","positive",1,"radarpositive",0.8,"below",0.121666667,"radarpositive-0.8-below"
"hsjjplhi","radar","positive",1,"radarpositive",0.8,"above",0.091666667,"radarpositive-0.8-above"
"hsjjplhi","radar","positive",1,"radarpositive",0.5,"above",0.201666667,"radarpositive-0.5-above"
"hsjc0lm3","stackedarea","positive",1,"stackedareapositive",0.8,"below",0.2,"stackedareapositive-0.8-below"
"hsjc0lm3","stackedarea","positive",1,"stackedareapositive",0.5,"above",0.485833333,"stackedareapositive-0.5-above"
"hsjc0lm3","stackedarea","positive",1,"stackedareapositive",0.8,"above",0.16,"stackedareapositive-0.8-above"
"hsjc0lm3","stackedarea","positive",1,"stackedareapositive",0.5,"below",0.263333333,"stackedareapositive-0.5-below"
"hsjhp3xg","radar","positive",1,"radarpositive",0.7,"below",0.245,"radarpositive-0.7-below"
"hsjhp3xg","radar","positive",1,"radarpositive",0.7,"above",0.11,"radarpositive-0.7-above"
"hsjhp3xg","radar","positive",1,"radarpositive",0.4,"below",0.463333333,"radarpositive-0.4-below"
"hsjhp3xg","radar","positive",1,"radarpositive",0.4,"above",0.343333333,"radarpositive-0.4-above"
"hsjcphp6","stackedarea","positive",1,"stackedareapositive",0.8,"below",0.488333333,"stackedareapositive-0.8-below"
"hsjcphp6","stackedarea","positive",1,"stackedareapositive",0.5,"above",0.356666667,"stackedareapositive-0.5-above"
"hsjcphp6","stackedarea","positive",1,"stackedareapositive",0.5,"below",0.375,"stackedareapositive-0.5-below"
"hsjcphp6","stackedarea","positive",1,"stackedareapositive",0.8,"above",0.16,"stackedareapositive-0.8-above"
"hs7ii74r","stackedline","negative",-1,"stackedlinenegative",0.6,"above",0.103333333,"stackedlinenegative-0.6-above"
"hs7ii74r","stackedline","negative",-1,"stackedlinenegative",0.6,"below",0.138333333,"stackedlinenegative-0.6-below"
"hs7ii74r","stackedline","negative",-1,"stackedlinenegative",0.3,"below",0.443333333,"stackedlinenegative-0.3-below"
"hs7ii74r","stackedline","negative",-1,"stackedlinenegative",0.3,"above",0.096666667,"stackedlinenegative-0.3-above"
